"Pvalue","Number of CpG sites","Numeber of CpG sites after matching with CoMeRegion"," Number of CpG sites after pruning","Numeber of CpG sites after matching with DNA methylation data"
0.05,80130,68581,56398,56398
0.005,37457,32589,26519,26519
5e-04,22798,20053,16371,16371
5e-05,15670,13867,11353,11353
5e-06,11469,10167,8360,8360
5e-07,8872,7877,6471,6471
5e-08,7068,6292,5170,5170
5e-09,5705,5074,4184,4184
5e-10,4775,4258,3511,3511
5e-11,3946,3519,2901,2901
5e-12,3335,2969,2466,2466
5e-13,2827,2512,2109,2109
5e-14,2418,2143,1785,1785
5e-15,2087,1851,1540,1540
5e-16,1816,1610,1345,1345
5e-17,1616,1435,1198,1198
5e-18,1451,1287,1075,1075
5e-19,1297,1146,956,956
5e-20,1157,1021,856,856
5e-21,1039,914,771,771
5e-22,953,835,704,704
5e-23,874,767,652,652
5e-24,802,705,598,598
5e-25,740,648,551,551
5e-26,675,598,511,511
5e-27,628,556,476,476
5e-28,584,516,442,442
5e-29,550,484,414,414
5e-30,508,446,383,383
5e-31,475,414,356,356
5e-32,445,388,334,334
5e-33,425,371,318,318
5e-34,397,346,294,294
5e-35,378,329,279,279
5e-36,361,314,268,268
5e-37,335,291,246,246
5e-38,313,271,230,230
5e-39,303,264,223,223
5e-40,282,246,205,205
5e-41,270,236,197,197
5e-42,257,226,188,188
5e-43,247,217,181,181
5e-44,239,210,174,174
5e-45,229,200,167,167
5e-46,215,187,156,156
5e-47,210,182,151,151
5e-48,200,173,143,143
5e-49,190,164,136,136
5e-50,184,158,131,131
5e-51,176,150,124,124
5e-52,168,142,118,118
5e-53,166,140,118,118
5e-54,160,135,116,116
5e-55,153,129,110,110
5e-56,149,127,108,108
5e-57,143,123,105,105
5e-58,139,119,103,103
5e-59,132,112,96,96
5e-60,127,108,92,92
5e-61,125,106,90,90
5e-62,123,104,88,88
5e-63,122,103,88,88
5e-64,122,103,88,88
5e-65,114,96,83,83
5e-66,110,93,80,80
5e-67,109,92,79,79
5e-68,106,89,76,76
5e-69,103,87,75,75
5e-70,99,83,72,72
5e-71,98,82,71,71
5e-72,98,82,71,71
5e-73,95,79,68,68
5e-74,93,77,66,66
5e-75,91,75,64,64
5e-76,87,73,63,63
5e-77,86,73,63,63
5e-78,85,72,62,62
5e-79,83,70,61,61
5e-80,80,67,59,59
5e-81,77,65,58,58
5e-82,77,65,58,58
5e-83,77,65,58,58
5e-84,73,61,54,54
5e-85,73,61,54,54
5e-86,72,61,54,54
5e-87,72,61,54,54
5e-88,68,58,51,51
5e-89,68,58,51,51
5e-90,68,58,51,51
5e-91,66,56,49,49
5e-92,64,54,47,47
5e-93,64,54,47,47
5e-94,63,53,46,46
5e-95,62,53,46,46
5e-96,62,53,46,46
5e-97,62,53,46,46
5e-98,60,51,44,44
5e-99,60,51,44,44
5e-100,60,51,44,44
5e-101,59,50,43,43
5e-102,57,48,41,41
5e-103,56,48,41,41
5e-104,55,47,40,40
5e-105,53,45,38,38
5e-106,53,45,38,38
5e-107,52,44,37,37
5e-108,52,44,37,37
5e-109,52,44,37,37
5e-110,51,43,36,36
5e-111,51,43,36,36
5e-112,51,43,36,36
5e-113,51,43,36,36
5e-114,50,43,36,36
5e-115,50,43,36,36
5e-116,49,42,35,35
5e-117,49,42,35,35
5e-118,49,42,35,35
5e-119,49,42,35,35
5e-120,46,39,33,33
5e-121,45,38,32,32
5e-122,44,37,31,31
5e-123,44,37,31,31
5e-124,44,37,31,31
5e-125,43,36,30,30
5e-126,43,36,30,30
5e-127,42,35,29,29
5e-128,41,34,28,28
5e-129,39,33,27,27
5e-130,38,32,26,26
5e-131,38,32,26,26
5e-132,37,31,25,25
5e-133,37,31,25,25
5e-134,37,31,25,25
5e-135,36,30,24,24
5e-136,36,30,24,24
5e-137,34,28,22,22
5e-138,34,28,22,22
5e-139,33,27,22,22
5e-140,33,27,22,22
5e-141,33,27,22,22
5e-142,33,27,22,22
5e-143,33,27,22,22
5e-144,33,27,22,22
5e-145,33,27,22,22
5e-146,33,27,22,22
5e-147,33,27,22,22
5e-148,33,27,22,22
5e-149,33,27,22,22
5e-150,33,27,22,22
5e-151,33,27,22,22
5e-152,33,27,22,22
5e-153,33,27,22,22
5e-154,32,26,21,21
5e-155,32,26,21,21
5e-156,31,25,21,21
5e-157,30,24,20,20
5e-158,30,24,20,20
5e-159,30,24,20,20
5e-160,29,23,20,20
5e-161,28,22,19,19
5e-162,28,22,19,19
5e-163,27,21,18,18
5e-164,26,20,17,17
5e-165,26,20,17,17
5e-166,25,20,17,17
5e-167,25,20,17,17
5e-168,25,20,17,17
5e-169,23,18,15,15
5e-170,23,18,15,15
5e-171,23,18,15,15
5e-172,23,18,15,15
5e-173,23,18,15,15
5e-174,23,18,15,15
5e-175,23,18,15,15
5e-176,23,18,15,15
5e-177,23,18,15,15
5e-178,23,18,15,15
5e-179,22,17,15,15
5e-180,22,17,15,15
5e-181,21,16,14,14
5e-182,21,16,14,14
5e-183,21,16,14,14
5e-184,21,16,14,14
5e-185,21,16,14,14
5e-186,20,15,13,13
5e-187,20,15,13,13
5e-188,20,15,13,13
5e-189,20,15,13,13
5e-190,20,15,13,13
5e-191,20,15,13,13
5e-192,20,15,13,13
5e-193,20,15,13,13
5e-194,20,15,13,13
5e-195,20,15,13,13
5e-196,20,15,13,13
5e-197,19,15,13,13
5e-198,19,15,13,13
5e-199,19,15,13,13
5e-200,19,15,13,13
5e-201,19,15,13,13
5e-202,19,15,13,13
5e-203,19,15,13,13
5e-204,18,14,12,12
5e-205,18,14,12,12
5e-206,18,14,12,12
5e-207,18,14,12,12
5e-208,18,14,12,12
5e-209,18,14,12,12
5e-210,18,14,12,12
5e-211,18,14,12,12
5e-212,18,14,12,12
5e-213,18,14,12,12
5e-214,18,14,12,12
5e-215,18,14,12,12
5e-216,18,14,12,12
5e-217,18,14,12,12
5e-218,18,14,12,12
5e-219,18,14,12,12
5e-220,18,14,12,12
5e-221,18,14,12,12
5e-222,18,14,12,12
5e-223,18,14,12,12
5e-224,18,14,12,12
5e-225,18,14,12,12
5e-226,18,14,12,12
5e-227,18,14,12,12
5e-228,18,14,12,12
5e-229,18,14,12,12
5e-230,18,14,12,12
5e-231,18,14,12,12
5e-232,18,14,12,12
5e-233,18,14,12,12
5e-234,18,14,12,12
5e-235,18,14,12,12
5e-236,18,14,12,12
5e-237,18,14,12,12
5e-238,18,14,12,12
5e-239,18,14,12,12
5e-240,18,14,12,12
5e-241,18,14,12,12
5e-242,18,14,12,12
5e-243,18,14,12,12
5e-244,17,13,12,12
5e-245,17,13,12,12
5e-246,16,12,11,11
5e-247,16,12,11,11
5e-248,16,12,11,11
5e-249,16,12,11,11
5e-250,16,12,11,11
5e-251,16,12,11,11
5e-252,16,12,11,11
5e-253,16,12,11,11
5e-254,15,11,10,10
5e-255,15,11,10,10
5e-256,15,11,10,10
5e-257,15,11,10,10
5e-258,14,10,9,9
5e-259,14,10,9,9
5e-260,14,10,9,9
5e-261,14,10,9,9
5e-262,14,10,9,9
5e-263,14,10,9,9
5e-264,14,10,9,9
5e-265,14,10,9,9
5e-266,14,10,9,9
5e-267,14,10,9,9
5e-268,14,10,9,9
5e-269,14,10,9,9
5e-270,14,10,9,9
5e-271,14,10,9,9
5e-272,14,10,9,9
5e-273,14,10,9,9
5e-274,14,10,9,9
5e-275,14,10,9,9
5e-276,14,10,9,9
5e-277,14,10,9,9
5e-278,14,10,9,9
5e-279,14,10,9,9
5e-280,14,10,9,9
5e-281,14,10,9,9
5e-282,14,10,9,9
5e-283,14,10,9,9
5e-284,14,10,9,9
5e-285,14,10,9,9
5e-286,14,10,9,9
5e-287,14,10,9,9
5e-288,14,10,9,9
5e-289,14,10,9,9
5e-290,14,10,9,9
5e-291,14,10,9,9
5e-292,13,9,9,9
5e-293,13,9,9,9
5e-294,13,9,9,9
